pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
104,1.0,166.0,20.0,30.0,0.0,110.0,14.0,7075.0,10.0,0,0,0,0,0,166.0,124.0,41.0,False
105,0.0,0.0,0.0,0.0,195.0,0.0,0.0,7079.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
106,0.0,0.0,0.0,0.0,195.0,0.0,0.0,7109.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
107,0.0,228.0,20.0,30.0,0.0,81.0,75.0,7236.0,10.0,0,0,0,0,0,228.0,156.0,40.0,False
108,15.0,298.0,20.0,30.0,0.0,105.0,0.0,7449.0,10.0,0,0,0,0,0,298.0,105.0,55.0,False
109,15.0,480.0,20.0,30.0,0.0,7.0,190.0,7579.0,10.0,0,0,0,0,0,480.0,197.0,55.0,False
110,15.0,149.0,35.0,30.0,0.0,370.0,7579.0,210.0,10.0,0,0,0,0,0,149.0,7949.0,55.0,False
111,15.0,168.0,20.0,30.0,0.0,7.0,0.0,7829.0,10.0,0,0,0,0,0,168.0,7.0,55.0,False
112,15.0,221.0,20.0,30.0,0.0,104.0,0.0,7854.0,10.0,0,0,0,0,0,221.0,104.0,55.0,False
113,15.0,327.0,20.0,30.0,0.0,418.0,0.0,7858.0,10.0,0,0,0,0,0,327.0,418.0,55.0,False
114,15.0,433.0,20.0,30.0,0.0,295.0,0.0,7954.0,10.0,0,0,0,0,0,433.0,295.0,55.0,False
115,15.0,40.0,20.0,30.0,0.0,9980.0,0.0,8082.0,10.0,0,0,0,0,0,40.0,9980.0,55.0,False
116,15.0,148.0,20.0,30.0,0.0,209.0,0.0,8133.0,10.0,0,0,0,0,0,148.0,209.0,55.0,False
117,0.0,189.0,20.0,30.0,0.0,232.0,33.0,8221.0,10.0,0,0,0,0,0,189.0,265.0,40.0,False
118,0.0,187.0,20.0,30.0,0.0,14.0,136.0,8262.0,10.0,0,0,0,0,0,187.0,150.0,40.0,False
119,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8279.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
120,0.0,196.0,20.0,30.0,0.0,184.0,183.0,8382.0,10.0,0,0,0,0,0,196.0,367.0,40.0,False
121,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8425.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
122,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8425.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
123,0.0,219.0,20.0,30.0,0.0,240.0,181.0,8478.0,10.0,0,0,0,0,0,219.0,421.0,40.0,False
124,0.0,360.0,20.0,30.0,0.0,265.0,156.0,8522.0,10.0,0,0,0,0,0,360.0,421.0,40.0,False
125,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8617.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
126,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8688.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
127,0.0,0.0,0.0,0.0,195.0,0.0,0.0,8720.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
