pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
457,15.0,792.0,32.0,30.0,181.0,13282.0,101.0,10.0,0,0,0,0,0,0,792.0,13463.0,55.0,False
458,15.0,587.0,35.0,30.0,351.0,13380.0,3.0,10.0,0,0,0,0,0,0,587.0,13731.0,55.0,False
459,15.0,423.0,20.0,30.0,226.0,0.0,13408.0,10.0,0,0,0,0,0,0,423.0,226.0,55.0,False
460,15.0,192.0,20.0,30.0,21.0,0.0,13479.0,10.0,0,0,0,0,0,0,192.0,21.0,55.0,False
461,3.0,161.0,20.0,30.0,132.0,12.0,13501.0,10.0,0,0,0,0,0,0,161.0,144.0,43.0,False
462,15.0,395.0,20.0,30.0,0.0,68.0,13502.0,10.0,0,0,0,0,0,0,395.0,68.0,55.0,False
463,3.0,228.0,32.0,30.0,9.0,13501.0,12.0,10.0,0,0,0,0,0,0,228.0,13510.0,43.0,False
464,15.0,340.0,20.0,30.0,100.0,21.0,13513.0,10.0,0,0,0,0,0,0,340.0,121.0,55.0,False
465,15.0,446.0,20.0,30.0,150.0,142.0,13527.0,10.0,0,0,0,0,0,0,446.0,292.0,55.0,False
466,15.0,172.0,20.0,30.0,7.0,0.0,13632.0,10.0,0,0,0,0,0,0,172.0,7.0,55.0,False
467,15.0,181.0,35.0,30.0,81.0,13502.0,118.0,10.0,0,0,0,0,0,0,181.0,13583.0,55.0,False
468,15.0,179.0,20.0,30.0,162.0,0.0,13651.0,10.0,0,0,0,0,0,0,179.0,162.0,55.0,False
469,15.0,117.0,20.0,30.0,62.0,195.0,13698.0,10.0,0,0,0,0,0,0,117.0,257.0,55.0,False
470,15.0,125.0,35.0,30.0,79.0,13513.0,171.0,10.0,0,0,0,0,0,0,125.0,13592.0,55.0,False
471,15.0,289.0,32.0,30.0,437.0,13530.0,159.0,10.0,0,0,0,0,0,0,289.0,13967.0,55.0,False
472,15.0,770.0,35.0,30.0,195.0,13686.0,3.0,10.0,0,0,0,0,0,0,770.0,13881.0,55.0,False
473,15.0,380.0,20.0,30.0,29.0,110.0,13714.0,10.0,0,0,0,0,0,0,380.0,139.0,55.0,False
474,15.0,656.0,9.0,30.0,108.0,214.0,13756.0,10.0,0,0,0,0,0,0,656.0,322.0,55.0,False
475,15.0,256.0,35.0,30.0,157.0,13933.0,11.0,10.0,0,0,0,0,0,0,256.0,14090.0,55.0,False
476,15.0,265.0,20.0,4.0,75.0,26.0,13805.0,10.0,0,0,0,0,0,0,265.0,101.0,29.0,False
477,15.0,242.0,5.0,30.0,131.0,15.0,13833.0,10.0,0,0,0,0,0,0,242.0,146.0,55.0,False
478,15.0,150.0,35.0,30.0,242.0,13833.0,15.0,10.0,0,0,0,0,0,0,150.0,14075.0,55.0,False
479,15.0,117.0,20.0,30.0,129.0,0.0,13879.0,10.0,0,0,0,0,0,0,117.0,129.0,55.0,False
480,15.0,435.0,10.0,30.0,15.0,10.0,13881.0,10.0,0,0,0,0,0,0,435.0,25.0,55.0,False
481,15.0,190.0,35.0,30.0,140.0,13881.0,10.0,10.0,0,0,0,0,0,0,190.0,14021.0,55.0,False
482,15.0,261.0,35.0,30.0,0.0,13714.0,189.0,10.0,0,0,0,0,0,0,261.0,13714.0,55.0,False
483,15.0,374.0,35.0,30.0,0.0,13805.0,121.0,10.0,0,0,0,0,0,0,374.0,13805.0,55.0,False
484,15.0,575.0,20.0,30.0,82.0,66.0,13972.0,10.0,0,0,0,0,0,0,575.0,148.0,55.0,False
485,15.0,395.0,20.0,30.0,274.0,0.0,13983.0,10.0,0,0,0,0,0,0,395.0,274.0,55.0,False
486,15.0,493.0,35.0,30.0,24.0,13767.0,212.0,10.0,0,0,0,0,0,0,493.0,13791.0,55.0,False
487,15.0,638.0,20.0,30.0,155.0,117.0,14007.0,10.0,0,0,0,0,0,0,638.0,272.0,55.0,False
488,15.0,207.0,20.0,30.0,159.0,0.0,14012.0,10.0,0,0,0,0,0,0,207.0,159.0,55.0,False
489,15.0,467.0,20.0,30.0,85.0,0.0,14013.0,10.0,0,0,0,0,0,0,467.0,85.0,55.0,False
490,15.0,158.0,35.0,30.0,0.0,13698.0,307.0,10.0,0,0,0,0,0,0,158.0,13698.0,55.0,False
491,15.0,151.0,20.0,30.0,33.0,0.0,14070.0,10.0,0,0,0,0,0,0,151.0,33.0,55.0,False
492,15.0,354.0,35.0,30.0,175.0,13972.0,86.0,10.0,0,0,0,0,0,0,354.0,14147.0,55.0,False
493,15.0,186.0,20.0,30.0,62.0,0.0,14098.0,10.0,0,0,0,0,0,0,186.0,62.0,55.0,False
494,15.0,343.0,20.0,30.0,209.0,0.0,14140.0,10.0,0,0,0,0,0,0,343.0,209.0,55.0,False
495,15.0,678.0,20.0,30.0,140.0,18.0,14225.0,10.0,0,0,0,0,0,0,678.0,158.0,55.0,False
